File,FSL,Genus,species,AT,Lab_ID,Trial,HTST_Temp,PlateType,Storage_Temp,Day
Lonestar ESL Isolates.xlsx#Sheet1,L8-0070,,,,1-LPC-2,1,,LPC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0071,,,,1-LPC-3,1,,LPC,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0072,,,,1-PI-1,1,,PI,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0073,,,,1-PI-2,1,,PI,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0074,,,,1-PI-3,1,,PI,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0075,,,,1-MSC-1,1,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0076,,,,1-MSC-2,1,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0077,,,,1-MSC-3,1,,MSC,3,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0078,,,,1-MSC-4,1,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0079,,,,1-MSC-5,1,,MSC,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0080,,,,1-75-DI-1,1,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0081,,,,1-75-DI-2,1,75,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0082,,,,1-85-DI-1,1,85,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0083,,,,1-90-DI-1,1,90,,,0
Lonestar ESL Isolates.xlsx#Sheet1,L8-0084,,,,1-75-3-D7-1,1,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0085,,,,1-75-3-D7-2,1,75,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0086,,,,1-85-3-D7-1,1,85,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0087,,,,1-90-3-D7-1,1,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0088,,,,1-90-3-D7-2,1,90,,3,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0089,,,,1-75-6.5-D7-1,1,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0090,,,,1-75-6.5-D7-2,1,75,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0091,,,,1-85-6.5-D7-1,1,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0092,,,,1-85-6.5-D7-2,1,85,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0093,,,,1-90-6.5-D7-1,1,90,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0094,,,,1-90-6.5-D7-2,1,90,,6.5,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0095,,,,1-75-10-D7-1,1,75,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0096,,,,1-75-10-D7-3,1,75,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0097,,,,1-85-10-D7-1,1,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0098,,,,1-85-10-D7-2,1,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0099,,,,1-85-10-D7-3,1,85,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0100,,,,1-90-10-D7-1,1,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0101,,,,1-90-10-D7-2,1,90,,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0102,,,,1-CVTA-75-10-D7-1,1,75,CVTA,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0103,,,,1-CVTA-85-10-D7-1,1,85,CVTA,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0104,,,,1-CVTA-90-10-D7-1,1,90,CVTA,10,7
Lonestar ESL Isolates.xlsx#Sheet1,L8-0105,,,,1-75-3-D14-1,1,75,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0106,,,,1-75-3-D14-2,1,75,,3,14
